Stage,Round,Date,Team 1,FT,Team 2,Year,Month,Day,Date,DayOfWeek,Total Goals,Team 1 Goals,Team 2 Goals,Result
Finaldurchgang - Qualifikation,23,Tue Jun 2 2020,FK Austria Wien,1-0,FC Admira Wacker Mödling,2020,Jun,2,2/Jun/2020,Tue,1,1,0,FK Austria Wien
Finaldurchgang - Meister,23,Wed Jun 3 2020,LASK Linz,01-Feb,TSV Hartberg,2020,Jun,3,3/Jun/2020,Wed,3,1,2,TSV Hartberg
Finaldurchgang - Meister,23,Wed Jun 3 2020,SK Sturm Graz,01-Feb,Wolfsberger AC,2020,Jun,3,3/Jun/2020,Wed,3,1,2,Wolfsberger AC
Finaldurchgang - Meister,23,Wed Jun 3 2020,FC RB Salzburg,2-0,SK Rapid Wien,2020,Jun,3,3/Jun/2020,Wed,2,2,0,FC RB Salzburg
Finaldurchgang - Qualifikation,24,Sat Jun 6 2020,SKN St. Pölten,01-Jan,FK Austria Wien,2020,Jun,6,6/Jun/2020,Sat,2,1,1,Draw
Finaldurchgang - Qualifikation,24,Sat Jun 6 2020,SCR Altach,01-Jan,WSG Tirol,2020,Jun,6,6/Jun/2020,Sat,2,1,1,Draw
Finaldurchgang - Qualifikation,24,Sat Jun 6 2020,FC Admira Wacker Mödling,0-2,SV Mattersburg,2020,Jun,6,6/Jun/2020,Sat,2,0,2,SV Mattersburg
Finaldurchgang - Meister,24,Sun Jun 7 2020,Wolfsberger AC,03-Mar,LASK Linz,2020,Jun,7,7/Jun/2020,Sun,6,3,3,Draw
Finaldurchgang - Meister,24,Sun Jun 7 2020,SK Rapid Wien,4-0,SK Sturm Graz,2020,Jun,7,7/Jun/2020,Sun,4,4,0,SK Rapid Wien
Finaldurchgang - Meister,24,Sun Jun 7 2020,TSV Hartberg,0-6,FC RB Salzburg,2020,Jun,7,7/Jun/2020,Sun,6,0,6,FC RB Salzburg
Finaldurchgang - Qualifikation,25,Tue Jun 9 2020,WSG Tirol,01-Jan,SV Mattersburg,2020,Jun,9,9/Jun/2020,Tue,2,1,1,Draw
