Round,Date,Team 1,FT,Team 2,Year,Month,Day,Date,DayOfWeek,Total Goals,Team 1 Goals,Team 2 Goals,Result
15,Sat Nov 9 2019,Albacete Balompié,0-1,CD Lugo,2019,Nov,9,9/Nov/2019,Sat,1,0,1,CD Lugo
15,Sat Nov 9 2019,Sporting Gijón,0-1,CD Numancia,2019,Nov,9,9/Nov/2019,Sat,1,0,1,CD Numancia
15,Sat Nov 9 2019,UD Las Palmas,01-Jan,AD Alcorcón,2019,Nov,9,9/Nov/2019,Sat,2,1,1,Draw
15,Sun Nov 10 2019,RCD La Coruña,01-Mar,Elche CF,2019,Nov,10,10/Nov/2019,Sun,4,1,3,Elche CF
15,Sun Nov 10 2019,UD Almería,01-Jan,Real Zaragoza,2019,Nov,10,10/Nov/2019,Sun,2,1,1,Draw
15,Sun Nov 10 2019,Málaga CF,0-0,CF Fuenlabrada,2019,Nov,10,10/Nov/2019,Sun,0,0,0,Draw
15,Sun Nov 10 2019,Real Racing Santander,02-Feb,SD Ponferradina,2019,Nov,10,10/Nov/2019,Sun,4,2,2,Draw
15,Sun Nov 10 2019,Rayo Vallecano,01-Jan,Cádiz CF,2019,Nov,10,10/Nov/2019,Sun,2,1,1,Draw
16,Sat Nov 16 2019,CF Fuenlabrada,03-Feb,SD Huesca,2019,Nov,16,16/Nov/2019,Sat,5,3,2,CF Fuenlabrada
16,Sat Nov 16 2019,Extremadura UD,2-0,RCD La Coruña,2019,Nov,16,16/Nov/2019,Sat,2,2,0,Extremadura UD
16,Sat Nov 16 2019,Elche CF,01-Jan,UD Almería,2019,Nov,16,16/Nov/2019,Sat,2,1,1,Draw
16,Sat Nov 16 2019,CD Numancia,02-Feb,Rayo Vallecano,2019,Nov,16,16/Nov/2019,Sat,4,2,2,Draw
16,Sat Nov 16 2019,Real Zaragoza,0-1,Albacete Balompié,2019,Nov,16,16/Nov/2019,Sat,1,0,1,Albacete Balompié
16,Sun Nov 17 2019,SD Ponferradina,01-Jan,Girona FC,2019,Nov,17,17/Nov/2019,Sun,2,1,1,Draw
16,Sun Nov 17 2019,AD Alcorcón,1-0,Málaga CF,2019,Nov,17,17/Nov/2019,Sun,1,1,0,AD Alcorcón
16,Sun Nov 17 2019,Real Oviedo,0-0,Sporting Gijón,2019,Nov,17,17/Nov/2019,Sun,0,0,0,Draw
16,Sun Nov 17 2019,CD Lugo,01-Jan,Real Racing Santander,2019,Nov,17,17/Nov/2019,Sun,2,1,1,Draw
16,Sun Nov 17 2019,CD Mirandés,02-Jan,UD Las Palmas,2019,Nov,17,17/Nov/2019,Sun,3,2,1,CD Mirandés
16,Sun Nov 17 2019,CD Tenerife,01-Jan,Cádiz CF,2019,Nov,17,17/Nov/2019,Sun,2,1,1,Draw
17,Fri Nov 22 2019,Sporting Gijón,0-2,CD Tenerife,2019,Nov,22,22/Nov/2019,Fri,2,0,2,CD Tenerife
17,Sat Nov 23 2019,Rayo Vallecano,0-1,Real Zaragoza,2019,Nov,23,23/Nov/2019,Sat,1,0,1,Real Zaragoza
17,Sat Nov 23 2019,Real Racing Santander,3-0,Extremadura UD,2019,Nov,23,23/Nov/2019,Sat,3,3,0,Real Racing Santander
17,Sat Nov 23 2019,RCD La Coruña,0-0,AD Alcorcón,2019,Nov,23,23/Nov/2019,Sat,0,0,0,Draw
17,Sat Nov 23 2019,SD Huesca,2-0,SD Ponferradina,2019,Nov,23,23/Nov/2019,Sat,2,2,0,SD Huesca
17,Sun Nov 24 2019,UD Almería,2-0,CD Numancia,2019,Nov,24,24/Nov/2019,Sun,2,2,0,UD Almería
17,Sun Nov 24 2019,Albacete Balompié,01-Feb,CD Mirandés,2019,Nov,24,24/Nov/2019,Sun,3,1,2,CD Mirandés
17,Sun Nov 24 2019,Málaga CF,03-Mar,Elche CF,2019,Nov,24,24/Nov/2019,Sun,6,3,3,Draw
17,Sun Nov 24 2019,Girona FC,2-0,CF Fuenlabrada,2019,Nov,24,24/Nov/2019,Sun,2,2,0,Girona FC
17,Sun Nov 24 2019,UD Las Palmas,03-Jan,Real Oviedo,2019,Nov,24,24/Nov/2019,Sun,4,3,1,UD Las Palmas
17,Sun Nov 24 2019,Cádiz CF,02-Jan,CD Lugo,2019,Nov,24,24/Nov/2019,Sun,3,2,1,Cádiz CF
18,Fri Nov 29 2019,CD Numancia,0-0,Málaga CF,2019,Nov,29,29/Nov/2019,Fri,0,0,0,Draw
18,Sat Nov 30 2019,CD Mirandés,0-0,Sporting Gijón,2019,Nov,30,30/Nov/2019,Sat,0,0,0,Draw
18,Sat Nov 30 2019,AD Alcorcón,0-2,SD Huesca,2019,Nov,30,30/Nov/2019,Sat,2,0,2,SD Huesca
18,Sat Nov 30 2019,SD Ponferradina,01-Jan,Albacete Balompié,2019,Nov,30,30/Nov/2019,Sat,2,1,1,Draw
18,Sat Nov 30 2019,CD Tenerife,01-Mar,UD Almería,2019,Nov,30,30/Nov/2019,Sat,4,1,3,UD Almería
18,Sat Nov 30 2019,Real Zaragoza,03-Mar,Girona FC,2019,Nov,30,30/Nov/2019,Sat,6,3,3,Draw
18,Sun Dec 1 2019,CF Fuenlabrada,1-0,Cádiz CF,2019,Dec,1,1/Dec/2019,Sun,1,1,0,CF Fuenlabrada
